unit,year,y_recyclingrate,treated
MERRIMAC,2002,.40940991,0
NEWBURYPORT,2002,.45940992,0
DANVERS,2002,.31940991,0
BOXFORD,2002,.55940992,0
SAUGUS,2002,.48940989,0
ESSEX,2002,.4194099,0
HAMILTON,2002,.3294099,0
HAVERHILL,2002,.34940991,0
ROCKPORT,2002,.58940989,0
TOPSFIELD,2002,.53940988,0
SWAMPSCOTT,2002,.61940986,0
GLOUCESTER,2002,.4794099,0
SALEM,2002,.39940992,0
METHUEN,2002,.4494099,0
IPSWICH,2002,.42940992,0
LYNNFIELD,2002,.36940992,0
MIDDLETON,2002,.37940991,0
ANDOVER,2002,.4494099,0
BEVERLY,2002,.3594099,0
SALISBURY,2002,.3894099,0
WEST NEWBURY,2002,.37940991,0
TOPSFIELD,2003,.48246804,0
BEVERLY,2003,.31246802,0
WEST NEWBURY,2003,.40246806,0
ROCKPORT,2003,.47246805,0
ESSEX,2003,.31246802,0
NEWBURYPORT,2003,.49246803,0
HAMILTON,2003,.33246803,0
GLOUCESTER,2003,.47246805,0
IPSWICH,2003,.46246806,0
DANVERS,2003,.33246803,0
ANDOVER,2003,.40246806,0
SALEM,2003,.24246803,0
MERRIMAC,2003,.37246805,0
SAUGUS,2003,.33246803,0
SALISBURY,2003,.47246805,0
METHUEN,2003,.42246804,0
MIDDLETON,2003,.43246806,0
PEABODY,2003,.26246804,0
BOXFORD,2003,.552468,0
HAVERHILL,2003,.38246804,0
LYNNFIELD,2003,.31246802,0
SWAMPSCOTT,2003,.612468,0
HAVERHILL,2004,.3464171,0
PEABODY,2004,.2564171,0
ANDOVER,2004,.51641709,0
SALEM,2004,.32641709,0
SAUGUS,2004,.32641709,0
BOXFORD,2004,.57641709,0
ESSEX,2004,.3164171,0
MIDDLETON,2004,.3764171,0
SALISBURY,2004,.49641708,0
MERRIMAC,2004,.36641708,0
ROCKPORT,2004,.48641708,0
LYNNFIELD,2004,.30641711,0
BEVERLY,2004,.27641711,0
TOPSFIELD,2004,.54641712,0
HAMILTON,2004,.3464171,0
DANVERS,2004,.33641711,0
NEWBURYPORT,2004,.57641709,0
GLOUCESTER,2004,.41641709,0
METHUEN,2004,.39641708,0
SWAMPSCOTT,2004,.61641711,0
WEST NEWBURY,2004,.42641708,0
IPSWICH,2004,.53641713,0
BEVERLY,2005,.34059453,0
ESSEX,2005,.33059451,0
ANDOVER,2005,.5605945,0
GLOUCESTER,2005,.47059453,0
TOPSFIELD,2005,.6205945,0
SWAMPSCOTT,2005,.59059453,0
SAUGUS,2005,.33059451,0
HAMILTON,2005,.30059451,0
ROCKPORT,2005,.48059452,0
METHUEN,2005,.29059452,0
SALISBURY,2005,.5605945,0
BOXFORD,2005,.5605945,0
IPSWICH,2005,.47059453,0
DANVERS,2005,.30059451,0
NEWBURYPORT,2005,.57059455,0
MERRIMAC,2005,.38059452,0
HAVERHILL,2005,.31059453,0
MIDDLETON,2005,.3705945,0
PEABODY,2005,.26059452,0
LYNNFIELD,2005,.31059453,0
SALEM,2005,.22059451,0
WEST NEWBURY,2005,.29059452,0
HAVERHILL,2006,.38722762,0
MIDDLETON,2006,.31722763,0
TOPSFIELD,2006,.46722761,0
BOXFORD,2006,.59722763,0
NEWBURYPORT,2006,.5072276,0
LYNNFIELD,2006,.30722761,0
HAMILTON,2006,.32722762,0
MERRIMAC,2006,.36722761,0
PEABODY,2006,.25722763,0
METHUEN,2006,.35722762,0
ESSEX,2006,.33722761,0
BEVERLY,2006,.36722761,0
ROCKPORT,2006,.48722762,0
IPSWICH,2006,.57722765,0
DANVERS,2006,.43722761,0
SALEM,2006,.33722761,0
ANDOVER,2006,.47722763,0
WEST NEWBURY,2006,.36722761,0
SALISBURY,2006,.5672276,0
GLOUCESTER,2006,.48722762,0
SAUGUS,2006,.34722763,0
SWAMPSCOTT,2006,.59722763,0
METHUEN,2007,.38269639,0
ROCKPORT,2007,.51269639,0
SALEM,2007,.32269639,0
ESSEX,2007,.33269638,0
HAMILTON,2007,.38269639,0
LYNNFIELD,2007,.32269639,0
DANVERS,2007,.38269639,0
WEST NEWBURY,2007,.42269641,0
PEABODY,2007,.2826964,0
SWAMPSCOTT,2007,.4626964,0
ANDOVER,2007,.55269641,0
MIDDLETON,2007,.29269642,0
BOXFORD,2007,.6226964,0
SALISBURY,2007,.45269641,0
NEWBURYPORT,2007,.45269641,0
TOPSFIELD,2007,.45269641,0
GLOUCESTER,2007,.52269638,0
MERRIMAC,2007,.35269639,0
SAUGUS,2007,.41269639,0
IPSWICH,2007,.65269637,0
BEVERLY,2007,.35269639,0
HAVERHILL,2007,.39269641,0
SAUGUS,2008,.46637723,0
SALISBURY,2008,.30637723,0
ANDOVER,2008,.59637725,0
LYNNFIELD,2008,.38637722,0
HAVERHILL,2008,.35637721,0
MIDDLETON,2008,.28637722,0
ROCKPORT,2008,.56637722,0
NEWBURYPORT,2008,.50637722,0
BOXFORD,2008,.62637722,0
HAMILTON,2008,.49637723,0
DANVERS,2008,.27637723,0
WEST NEWBURY,2008,.39637724,0
IPSWICH,2008,.59637725,0
ESSEX,2008,.37637722,0
GLOUCESTER,2008,.48637724,0
SALEM,2008,.31637722,0
TOPSFIELD,2008,.72637725,0
