,Year,Recycling Rate,Municipality
419,FY1997,38%,WALPOLE
420,CY2008,20%,WEBSTER
421,CY2007,4%,WEBSTER
422,CY2006,6%,WEBSTER
423,CY2005,,WEBSTER
424,CY2004,,WEBSTER
425,CY2003,13%,WEBSTER
426,CY2002,11%,WEBSTER
427,FY2001,16%,WEBSTER
428,FY2000,31%,WEBSTER
429,FY1999,35%,WEBSTER
430,FY1998,42%,WEBSTER
431,FY1997,43%,WEBSTER
432,CY2008,36%,WEST SPRINGFIELD
433,CY2007,31%,WEST SPRINGFIELD
434,CY2006,31%,WEST SPRINGFIELD
435,CY2005,33%,WEST SPRINGFIELD
436,CY2004,33%,WEST SPRINGFIELD
437,CY2003,20%,WEST SPRINGFIELD
438,CY2002,27%,WEST SPRINGFIELD
439,FY2001,25%,WEST SPRINGFIELD
440,FY2000,,WEST SPRINGFIELD
441,FY1999,23%,WEST SPRINGFIELD
442,FY1998,25%,WEST SPRINGFIELD
443,FY1997,22%,WEST SPRINGFIELD
444,CY2008,30%,WESTPORT
445,CY2007,24%,WESTPORT
446,CY2006,18%,WESTPORT
447,CY2005,20%,WESTPORT
448,CY2004,24%,WESTPORT
449,CY2003,40%,WESTPORT
450,CY2002,43%,WESTPORT
451,FY2001,42%,WESTPORT
452,FY2000,41%,WESTPORT
453,FY1999,45%,WESTPORT
454,FY1998,39%,WESTPORT
455,FY1997,45%,WESTPORT
456,CY2008,17%,WINCHENDON
457,CY2007,19%,WINCHENDON
458,CY2006,32%,WINCHENDON
459,CY2005,30%,WINCHENDON
460,CY2004,36%,WINCHENDON
461,CY2003,35%,WINCHENDON
462,CY2002,36%,WINCHENDON
463,FY2001,34%,WINCHENDON
464,FY2000,32%,WINCHENDON
465,FY1999,24%,WINCHENDON
466,FY1998,18%,WINCHENDON
467,FY1997,15%,WINCHENDON
468,CY2008,38%,DEVENS
469,CY2008,13%,ADAMS
470,CY2007,12%,ADAMS
471,CY2006,16%,ADAMS
472,CY2005,16%,ADAMS
473,CY2004,14%,ADAMS
474,CY2003,14%,ADAMS
475,CY2002,11%,ADAMS
476,FY2001,14%,ADAMS
477,FY2000,10%,ADAMS
478,FY1999,22%,ADAMS
479,FY1998,6%,ADAMS
480,FY1997,6%,ADAMS
481,CY2008,51%,ASHFIELD
482,CY2007,48%,ASHFIELD
483,CY2006,41%,ASHFIELD
484,CY2005,49%,ASHFIELD
485,CY2004,53%,ASHFIELD
486,CY2003,46%,ASHFIELD
487,CY2002,50%,ASHFIELD
488,FY2001,54%,ASHFIELD
489,FY2000,42%,ASHFIELD
490,FY1999,43%,ASHFIELD
491,FY1998,41%,ASHFIELD
492,FY1997,38%,ASHFIELD
493,CY2008,28%,BECKET
494,CY2007,35%,BECKET
495,CY2006,27%,BECKET
496,CY2005,25%,BECKET
497,CY2004,27%,BECKET
498,CY2003,26%,BECKET
499,CY2002,43%,BECKET
500,FY2001,44%,BECKET
501,FY2000,46%,BECKET
502,FY1999,47%,BECKET
503,FY1998,45%,BECKET
504,FY1997,46%,BECKET
505,CY2008,20%,BILLERICA
506,CY2007,16%,BILLERICA
507,CY2006,17%,BILLERICA
508,CY2005,22%,BILLERICA
509,CY2004,18%,BILLERICA
510,CY2003,18%,BILLERICA
511,CY2002,15%,BILLERICA
512,FY2001,15%,BILLERICA
513,FY2000,14%,BILLERICA
514,FY1999,15%,BILLERICA
515,FY1998,16%,BILLERICA
516,FY1997,21%,BILLERICA
517,CY2008,30%,BRAINTREE
518,CY2007,30%,BRAINTREE
519,CY2006,34%,BRAINTREE
520,CY2005,31%,BRAINTREE
521,CY2004,30%,BRAINTREE
522,CY2003,36%,BRAINTREE
523,CY2002,31%,BRAINTREE
524,FY2001,32%,BRAINTREE
525,FY2000,38%,BRAINTREE
526,FY1999,23%,BRAINTREE
527,FY1998,23%,BRAINTREE
528,FY1997,22%,BRAINTREE
529,CY2008,33%,CAMBRIDGE
530,CY2007,30%,CAMBRIDGE
531,CY2006,31%,CAMBRIDGE
532,CY2005,31%,CAMBRIDGE
533,CY2004,31%,CAMBRIDGE
534,CY2003,28%,CAMBRIDGE
535,CY2002,31%,CAMBRIDGE
536,FY2001,33%,CAMBRIDGE
537,FY2000,33%,CAMBRIDGE
538,FY1999,31%,CAMBRIDGE
539,FY1998,31%,CAMBRIDGE
540,FY1997,32%,CAMBRIDGE
541,CY2008,37%,CHESHIRE
542,CY2007,36%,CHESHIRE
543,CY2006,37%,CHESHIRE
544,CY2005,38%,CHESHIRE
545,CY2004,39%,CHESHIRE
546,CY2003,45%,CHESHIRE
547,CY2002,47%,CHESHIRE
548,FY2001,48%,CHESHIRE
549,FY2000,37%,CHESHIRE
550,FY1999,34%,CHESHIRE
551,FY1998,28%,CHESHIRE
552,FY1997,31%,CHESHIRE
553,CY2008,47%,CONCORD
554,CY2007,50%,CONCORD
555,CY2006,45%,CONCORD
556,CY2005,38%,CONCORD
557,CY2004,49%,CONCORD
558,CY2003,49%,CONCORD
559,CY2002,58%,CONCORD
560,FY2001,59%,CONCORD
561,FY2000,55%,CONCORD
562,FY1999,53%,CONCORD
563,FY1998,56%,CONCORD
564,FY1997,51%,CONCORD
565,CY2008,31%,DIGHTON
566,CY2007,,DIGHTON
567,CY2006,,DIGHTON
568,CY2005,37%,DIGHTON
569,CY2004,37%,DIGHTON
570,CY2003,37%,DIGHTON
571,CY2002,31%,DIGHTON
572,FY2001,,DIGHTON
573,FY2000,44%,DIGHTON
574,FY1999,47%,DIGHTON
575,FY1998,41%,DIGHTON
576,FY1997,39%,DIGHTON
577,CY2008,65%,EAST LONGMEADOW
578,CY2007,63%,EAST LONGMEADOW
579,CY2006,63%,EAST LONGMEADOW
580,CY2005,53%,EAST LONGMEADOW
581,CY2004,46%,EAST LONGMEADOW
582,CY2003,45%,EAST LONGMEADOW
583,CY2002,36%,EAST LONGMEADOW
584,FY2001,40%,EAST LONGMEADOW
585,FY2000,36%,EAST LONGMEADOW
586,FY1999,28%,EAST LONGMEADOW
587,FY1998,29%,EAST LONGMEADOW
588,FY1997,33%,EAST LONGMEADOW
589,CY2008,27%,FAIRHAVEN
590,CY2007,24%,FAIRHAVEN
591,CY2006,28%,FAIRHAVEN
592,CY2005,23%,FAIRHAVEN
593,CY2004,27%,FAIRHAVEN
594,CY2003,34%,FAIRHAVEN
595,CY2002,38%,FAIRHAVEN
596,FY2001,35%,FAIRHAVEN
597,FY2000,38%,FAIRHAVEN
598,FY1999,26%,FAIRHAVEN
599,FY1998,19%,FAIRHAVEN
600,FY1997,22%,FAIRHAVEN
601,CY2008,66%,GARDNER
602,CY2007,26%,GARDNER
603,CY2006,36%,GARDNER
604,CY2005,27%,GARDNER
605,CY2004,,GARDNER
606,CY2003,20%,GARDNER
607,CY2002,48%,GARDNER
608,FY2001,34%,GARDNER
609,FY2000,29%,GARDNER
610,FY1999,44%,GARDNER
611,FY1998,23%,GARDNER
612,FY1997,25%,GARDNER
613,CY2008,43%,GRANVILLE
614,CY2007,40%,GRANVILLE
615,CY2006,43%,GRANVILLE
616,CY2005,47%,GRANVILLE
617,CY2004,47%,GRANVILLE
618,CY2003,43%,GRANVILLE
619,CY2002,52%,GRANVILLE
620,FY2001,51%,GRANVILLE
621,FY2000,51%,GRANVILLE
622,FY1999,54%,GRANVILLE
623,FY1998,54%,GRANVILLE
624,FY1997,54%,GRANVILLE
625,CY2008,40%,HANCOCK
626,CY2007,39%,HANCOCK
627,CY2006,32%,HANCOCK
628,CY2005,34%,HANCOCK
629,CY2004,35%,HANCOCK
630,CY2003,38%,HANCOCK
631,CY2002,38%,HANCOCK
632,FY2001,36%,HANCOCK
633,FY2000,34%,HANCOCK
634,FY1999,53%,HANCOCK
635,FY1998,30%,HANCOCK
636,FY1997,31%,HANCOCK
637,CY2008,38%,HEATH
638,CY2007,36%,HEATH
639,CY2006,35%,HEATH
640,CY2005,37%,HEATH
641,CY2004,40%,HEATH
642,CY2003,40%,HEATH
643,CY2002,42%,HEATH
644,FY2001,23%,HEATH
645,FY2000,32%,HEATH
646,FY1999,34%,HEATH
647,FY1998,23%,HEATH
648,FY1997,30%,HEATH
649,CY2008,40%,HOPKINTON
650,CY2007,35%,HOPKINTON
651,CY2006,34%,HOPKINTON
652,CY2005,33%,HOPKINTON
653,CY2004,32%,HOPKINTON
654,CY2003,15%,HOPKINTON
655,CY2002,32%,HOPKINTON
656,FY2001,32%,HOPKINTON
657,FY2000,25%,HOPKINTON
658,FY1999,32%,HOPKINTON
659,FY1998,28%,HOPKINTON
660,FY1997,29%,HOPKINTON
661,CY2008,20%,LANESBOROUGH
662,CY2007,20%,LANESBOROUGH
663,CY2006,26%,LANESBOROUGH
664,CY2005,10%,LANESBOROUGH
665,CY2004,,LANESBOROUGH
666,CY2003,26%,LANESBOROUGH
667,CY2002,20%,LANESBOROUGH
668,FY2001,20%,LANESBOROUGH
669,FY2000,20%,LANESBOROUGH
670,FY1999,5%,LANESBOROUGH
671,FY1998,10%,LANESBOROUGH
672,FY1997,5%,LANESBOROUGH
673,CY2008,34%,LINCOLN
674,CY2007,37%,LINCOLN
675,CY2006,39%,LINCOLN
676,CY2005,39%,LINCOLN
677,CY2004,40%,LINCOLN
678,CY2003,39%,LINCOLN
679,CY2002,53%,LINCOLN
680,FY2001,31%,LINCOLN
681,FY2000,35%,LINCOLN
682,FY1999,34%,LINCOLN
683,FY1998,39%,LINCOLN
684,FY1997,35%,LINCOLN
685,CY2008,,MANCHESTER
686,CY2007,32%,MANCHESTER
687,CY2006,32%,MANCHESTER
688,CY2005,34%,MANCHESTER
689,CY2004,32%,MANCHESTER
690,CY2003,30%,MANCHESTER
691,CY2002,30%,MANCHESTER
692,FY2001,35%,MANCHESTER
693,FY2000,34%,MANCHESTER
694,FY1999,35%,MANCHESTER
695,FY1998,35%,MANCHESTER
696,FY1997,35%,MANCHESTER
697,CY2008,50%,MEDFIELD
698,CY2007,38%,MEDFIELD
699,CY2006,24%,MEDFIELD
700,CY2005,26%,MEDFIELD
701,CY2004,40%,MEDFIELD
702,CY2003,27%,MEDFIELD
703,CY2002,40%,MEDFIELD
704,FY2001,40%,MEDFIELD
705,FY2000,,MEDFIELD
706,FY1999,30%,MEDFIELD
707,FY1998,28%,MEDFIELD
708,FY1997,26%,MEDFIELD
709,CY2008,16%,MIDDLETON
710,CY2007,17%,MIDDLETON
711,CY2006,20%,MIDDLETON
712,CY2005,26%,MIDDLETON
713,CY2004,27%,MIDDLETON
714,CY2003,33%,MIDDLETON
715,CY2002,28%,MIDDLETON
716,FY2001,36%,MIDDLETON
717,FY2000,26%,MIDDLETON
718,FY1999,30%,MIDDLETON
719,FY1998,35%,MIDDLETON
720,FY1997,34%,MIDDLETON
721,CY2008,37%,MONTEREY
722,CY2007,31%,MONTEREY
723,CY2006,27%,MONTEREY
724,CY2005,47%,MONTEREY
725,CY2004,,MONTEREY
726,CY2003,42%,MONTEREY
727,CY2002,42%,MONTEREY
728,FY2001,39%,MONTEREY
729,FY2000,48%,MONTEREY
730,FY1999,57%,MONTEREY
731,FY1998,48%,MONTEREY
732,FY1997,44%,MONTEREY
733,CY2008,,NEW BRAINTREE
734,CY2007,,NEW BRAINTREE
735,CY2006,,NEW BRAINTREE
736,CY2005,,NEW BRAINTREE
737,CY2004,,NEW BRAINTREE
738,CY2003,,NEW BRAINTREE
739,CY2002,,NEW BRAINTREE
740,FY2001,,NEW BRAINTREE
741,FY2000,,NEW BRAINTREE
742,FY1999,,NEW BRAINTREE
743,FY1998,39%,NEW BRAINTREE
744,FY1997,,NEW BRAINTREE
745,CY2008,37%,NORTH ATTLEBOROUGH
746,CY2007,30%,NORTH ATTLEBOROUGH
747,CY2006,27%,NORTH ATTLEBOROUGH
748,CY2005,38%,NORTH ATTLEBOROUGH
749,CY2004,19%,NORTH ATTLEBOROUGH
750,CY2003,28%,NORTH ATTLEBOROUGH
751,CY2002,48%,NORTH ATTLEBOROUGH
752,FY2001,38%,NORTH ATTLEBOROUGH
753,FY2000,39%,NORTH ATTLEBOROUGH
754,FY1999,55%,NORTH ATTLEBOROUGH
755,FY1998,28%,NORTH ATTLEBOROUGH
756,FY1997,32%,NORTH ATTLEBOROUGH
757,CY2008,21%,NORWOOD
758,CY2007,,NORWOOD
759,CY2006,,NORWOOD
760,CY2005,,NORWOOD
761,CY2004,,NORWOOD
762,CY2003,,NORWOOD
763,CY2002,,NORWOOD
764,FY2001,31%,NORWOOD
765,FY2000,32%,NORWOOD
766,FY1999,32%,NORWOOD
767,FY1998,32%,NORWOOD
768,FY1997,39%,NORWOOD
769,CY2008,18%,PEABODY
770,CY2007,16%,PEABODY
771,CY2006,14%,PEABODY
772,CY2005,15%,PEABODY
773,CY2004,15%,PEABODY
774,CY2003,16%,PEABODY
775,CY2002,17%,PEABODY
776,FY2001,22%,PEABODY
777,FY2000,23%,PEABODY
778,FY1999,17%,PEABODY
779,FY1998,27%,PEABODY
780,FY1997,27%,PEABODY
781,CY2008,28%,PLAINVILLE
782,CY2007,30%,PLAINVILLE
783,CY2006,35%,PLAINVILLE
784,CY2005,30%,PLAINVILLE
785,CY2004,33%,PLAINVILLE
786,CY2003,31%,PLAINVILLE
787,CY2002,47%,PLAINVILLE
788,FY2001,53%,PLAINVILLE
789,FY2000,55%,PLAINVILLE
790,FY1999,46%,PLAINVILLE
791,FY1998,29%,PLAINVILLE
792,FY1997,20%,PLAINVILLE
793,CY2008,30%,REHOBOTH
794,CY2007,,REHOBOTH
795,CY2006,,REHOBOTH
796,CY2005,69%,REHOBOTH
797,CY2004,,REHOBOTH
