,Year,Recycling Rate,Municipality
2322,CY2003,14%,WHITMAN
2323,CY2002,,WHITMAN
2324,FY2001,,WHITMAN
2325,FY2000,,WHITMAN
2326,FY1999,,WHITMAN
2327,FY1998,34%,WHITMAN
2328,FY1997,34%,WHITMAN
2329,CY2008,26%,WOBURN
2330,CY2007,22%,WOBURN
2331,CY2006,21%,WOBURN
2332,CY2005,27%,WOBURN
2333,CY2004,27%,WOBURN
2334,CY2003,21%,WOBURN
2335,CY2002,26%,WOBURN
2336,FY2001,33%,WOBURN
2337,FY2000,21%,WOBURN
2338,FY1999,,WOBURN
2339,FY1998,16%,WOBURN
2340,FY1997,17%,WOBURN
2341,CY2008,29%,AMHERST
2342,CY2007,16%,AMHERST
2343,CY2006,20%,AMHERST
2344,CY2005,17%,AMHERST
2345,CY2004,18%,AMHERST
2346,CY2003,40%,AMHERST
2347,CY2002,36%,AMHERST
2348,FY2001,62%,AMHERST
2349,FY2000,46%,AMHERST
2350,FY1999,58%,AMHERST
2351,FY1998,56%,AMHERST
2352,FY1997,44%,AMHERST
2353,CY2008,23%,AUBURN
2354,CY2007,24%,AUBURN
2355,CY2006,,AUBURN
2356,CY2005,4%,AUBURN
2357,CY2004,11%,AUBURN
2358,CY2003,,AUBURN
2359,CY2002,,AUBURN
2360,FY2001,,AUBURN
2361,FY2000,,AUBURN
2362,FY1999,,AUBURN
2363,FY1998,36%,AUBURN
2364,FY1997,39%,AUBURN
2365,CY2008,35%,BELMONT
2366,CY2007,36%,BELMONT
2367,CY2006,30%,BELMONT
2368,CY2005,29%,BELMONT
2369,CY2004,36%,BELMONT
2370,CY2003,34%,BELMONT
2371,CY2002,27%,BELMONT
2372,FY2001,47%,BELMONT
2373,FY2000,42%,BELMONT
2374,FY1999,42%,BELMONT
2375,FY1998,40%,BELMONT
2376,FY1997,35%,BELMONT
2377,CY2008,13%,BOSTON
2378,CY2007,11%,BOSTON
2379,CY2006,12%,BOSTON
2380,CY2005,17%,BOSTON
2381,CY2004,12%,BOSTON
2382,CY2003,10%,BOSTON
2383,CY2002,10%,BOSTON
2384,FY2001,11%,BOSTON
2385,FY2000,13%,BOSTON
2386,FY1999,12%,BOSTON
2387,FY1998,10%,BOSTON
2388,FY1997,11%,BOSTON
2389,CY2008,28%,BROCKTON
2390,CY2007,22%,BROCKTON
2391,CY2006,23%,BROCKTON
2392,CY2005,28%,BROCKTON
2393,CY2004,28%,BROCKTON
2394,CY2003,26%,BROCKTON
2395,CY2002,30%,BROCKTON
2396,FY2001,13%,BROCKTON
2397,FY2000,13%,BROCKTON
2398,FY1999,18%,BROCKTON
2399,FY1998,21%,BROCKTON
2400,FY1997,17%,BROCKTON
2401,CY2008,52%,CHARLEMONT
2402,CY2007,53%,CHARLEMONT
2403,CY2006,51%,CHARLEMONT
2404,CY2005,51%,CHARLEMONT
2405,CY2004,44%,CHARLEMONT
2406,CY2003,41%,CHARLEMONT
2407,CY2002,48%,CHARLEMONT
2408,FY2001,37%,CHARLEMONT
2409,FY2000,38%,CHARLEMONT
2410,FY1999,45%,CHARLEMONT
2411,FY1998,48%,CHARLEMONT
2412,FY1997,54%,CHARLEMONT
2413,CY2008,29%,CHILMARK
2414,CY2007,29%,CHILMARK
2415,CY2006,43%,CHILMARK
2416,CY2005,45%,CHILMARK
2417,CY2004,23%,CHILMARK
2418,CY2003,23%,CHILMARK
2419,CY2002,37%,CHILMARK
2420,FY2001,28%,CHILMARK
2421,FY2000,,CHILMARK
2422,FY1999,31%,CHILMARK
2423,FY1998,30%,CHILMARK
2424,FY1997,33%,CHILMARK
2425,CY2008,15%,DANVERS
2426,CY2007,26%,DANVERS
2427,CY2006,32%,DANVERS
2428,CY2005,19%,DANVERS
2429,CY2004,23%,DANVERS
2430,CY2003,23%,DANVERS
2431,CY2002,22%,DANVERS
2432,FY2001,28%,DANVERS
2433,FY2000,29%,DANVERS
2434,FY1999,29%,DANVERS
2435,FY1998,22%,DANVERS
2436,FY1997,22%,DANVERS
2437,CY2008,18%,DUDLEY
2438,CY2007,16%,DUDLEY
2439,CY2006,17%,DUDLEY
2440,CY2005,16%,DUDLEY
2441,CY2004,17%,DUDLEY
2442,CY2003,18%,DUDLEY
2443,CY2002,53%,DUDLEY
2444,FY2001,55%,DUDLEY
2445,FY2000,55%,DUDLEY
2446,FY1999,55%,DUDLEY
2447,FY1998,55%,DUDLEY
2448,FY1997,50%,DUDLEY
2449,CY2008,24%,EDGARTOWN
2450,CY2007,16%,EDGARTOWN
2451,CY2006,24%,EDGARTOWN
2452,CY2005,32%,EDGARTOWN
2453,CY2004,34%,EDGARTOWN
2454,CY2003,26%,EDGARTOWN
2455,CY2002,32%,EDGARTOWN
2456,FY2001,38%,EDGARTOWN
2457,FY2000,,EDGARTOWN
2458,FY1999,32%,EDGARTOWN
2459,FY1998,30%,EDGARTOWN
2460,FY1997,33%,EDGARTOWN
2461,CY2008,22%,FLORIDA
2462,CY2007,23%,FLORIDA
2463,CY2006,26%,FLORIDA
2464,CY2005,21%,FLORIDA
2465,CY2004,24%,FLORIDA
2466,CY2003,27%,FLORIDA
2467,CY2002,32%,FLORIDA
2468,FY2001,34%,FLORIDA
2469,FY2000,37%,FLORIDA
2470,FY1999,11%,FLORIDA
2471,FY1998,9%,FLORIDA
2472,FY1997,,FLORIDA
2473,CY2008,36%,GLOUCESTER
2474,CY2007,40%,GLOUCESTER
2475,CY2006,37%,GLOUCESTER
2476,CY2005,36%,GLOUCESTER
2477,CY2004,31%,GLOUCESTER
2478,CY2003,37%,GLOUCESTER
2479,CY2002,38%,GLOUCESTER
2480,FY2001,36%,GLOUCESTER
2481,FY2000,36%,GLOUCESTER
2482,FY1999,33%,GLOUCESTER
2483,FY1998,32%,GLOUCESTER
2484,FY1997,32%,GLOUCESTER
2485,CY2008,,GROVELAND
2486,CY2007,,GROVELAND
2487,CY2006,,GROVELAND
2488,CY2005,,GROVELAND
2489,CY2004,,GROVELAND
2490,CY2003,,GROVELAND
2491,CY2002,,GROVELAND
2492,FY2001,53%,GROVELAND
2493,FY2000,,GROVELAND
2494,FY1999,,GROVELAND
2495,FY1998,18%,GROVELAND
2496,FY1997,18%,GROVELAND
2497,CY2008,31%,HARVARD
2498,CY2007,20%,HARVARD
2499,CY2006,30%,HARVARD
2500,CY2005,34%,HARVARD
2501,CY2004,32%,HARVARD
2502,CY2003,,HARVARD
2503,CY2002,39%,HARVARD
2504,FY2001,40%,HARVARD
2505,FY2000,38%,HARVARD
2506,FY1999,36%,HARVARD
2507,FY1998,44%,HARVARD
2508,FY1997,47%,HARVARD
2509,CY2008,41%,HOLDEN
2510,CY2007,,HOLDEN
2511,CY2006,20%,HOLDEN
2512,CY2005,18%,HOLDEN
2513,CY2004,17%,HOLDEN
2514,CY2003,18%,HOLDEN
2515,CY2002,26%,HOLDEN
2516,FY2001,,HOLDEN
2517,FY2000,26%,HOLDEN
2518,FY1999,22%,HOLDEN
2519,FY1998,21%,HOLDEN
2520,FY1997,33%,HOLDEN
2521,CY2008,34%,HUNTINGTON
2522,CY2007,45%,HUNTINGTON
2523,CY2006,41%,HUNTINGTON
2524,CY2005,41%,HUNTINGTON
2525,CY2004,44%,HUNTINGTON
2526,CY2003,41%,HUNTINGTON
2527,CY2002,42%,HUNTINGTON
2528,FY2001,39%,HUNTINGTON
2529,FY2000,36%,HUNTINGTON
2530,FY1999,37%,HUNTINGTON
2531,FY1998,36%,HUNTINGTON
2532,FY1997,35%,HUNTINGTON
2533,CY2008,4%,LENOX
2534,CY2007,6%,LENOX
2535,CY2006,13%,LENOX
2536,CY2005,12%,LENOX
2537,CY2004,17%,LENOX
2538,CY2003,13%,LENOX
2539,CY2002,25%,LENOX
2540,FY2001,19%,LENOX
2541,FY2000,18%,LENOX
2542,FY1999,24%,LENOX
2543,FY1998,29%,LENOX
2544,FY1997,46%,LENOX
2545,CY2008,27%,LUDLOW
2546,CY2007,27%,LUDLOW
2547,CY2006,23%,LUDLOW
2548,CY2005,20%,LUDLOW
2549,CY2004,22%,LUDLOW
2550,CY2003,22%,LUDLOW
2551,CY2002,26%,LUDLOW
2552,FY2001,24%,LUDLOW
2553,FY2000,29%,LUDLOW
2554,FY1999,25%,LUDLOW
2555,FY1998,20%,LUDLOW
2556,FY1997,19%,LUDLOW
2557,CY2008,29%,MARLBOROUGH
2558,CY2007,26%,MARLBOROUGH
2559,CY2006,22%,MARLBOROUGH
2560,CY2005,23%,MARLBOROUGH
2561,CY2004,22%,MARLBOROUGH
2562,CY2003,20%,MARLBOROUGH
2563,CY2002,16%,MARLBOROUGH
2564,FY2001,67%,MARLBOROUGH
2565,FY2000,65%,MARLBOROUGH
2566,FY1999,10%,MARLBOROUGH
2567,FY1998,13%,MARLBOROUGH
2568,FY1997,15%,MARLBOROUGH
2569,CY2008,,MENDON
2570,CY2007,,MENDON
2571,CY2006,33%,MENDON
2572,CY2005,18%,MENDON
2573,CY2004,31%,MENDON
2574,CY2003,17%,MENDON
2575,CY2002,,MENDON
2576,FY2001,,MENDON
2577,FY2000,,MENDON
2578,FY1999,36%,MENDON
2579,FY1998,33%,MENDON
2580,FY1997,20%,MENDON
2581,CY2008,17%,MILLVILLE
2582,CY2007,16%,MILLVILLE
2583,CY2006,14%,MILLVILLE
2584,CY2005,15%,MILLVILLE
2585,CY2004,,MILLVILLE
2586,CY2003,22%,MILLVILLE
2587,CY2002,27%,MILLVILLE
2588,FY2001,24%,MILLVILLE
2589,FY2000,,MILLVILLE
2590,FY1999,,MILLVILLE
2591,FY1998,33%,MILLVILLE
2592,FY1997,15%,MILLVILLE
2593,CY2008,91%,NANTUCKET
2594,CY2007,90%,NANTUCKET
2595,CY2006,88%,NANTUCKET
2596,CY2005,,NANTUCKET
2597,CY2004,63%,NANTUCKET
2598,CY2003,76%,NANTUCKET
2599,CY2002,8%,NANTUCKET
2600,FY2001,,NANTUCKET
2601,FY2000,,NANTUCKET
2602,FY1999,43%,NANTUCKET
2603,FY1998,44%,NANTUCKET
2604,FY1997,17%,NANTUCKET
2605,CY2008,38%,NEWBURYPORT
2606,CY2007,33%,NEWBURYPORT
2607,CY2006,39%,NEWBURYPORT
2608,CY2005,46%,NEWBURYPORT
2609,CY2004,47%,NEWBURYPORT
2610,CY2003,39%,NEWBURYPORT
2611,CY2002,36%,NEWBURYPORT
2612,FY2001,36%,NEWBURYPORT
2613,FY2000,34%,NEWBURYPORT
2614,FY1999,43%,NEWBURYPORT
2615,FY1998,41%,NEWBURYPORT
2616,FY1997,28%,NEWBURYPORT
2617,CY2008,37%,NORTHBOROUGH
2618,CY2007,36%,NORTHBOROUGH
2619,CY2006,34%,NORTHBOROUGH
2620,CY2005,41%,NORTHBOROUGH
2621,CY2004,37%,NORTHBOROUGH
2622,CY2003,31%,NORTHBOROUGH
2623,CY2002,31%,NORTHBOROUGH
2624,FY2001,29%,NORTHBOROUGH
2625,FY2000,27%,NORTHBOROUGH
2626,FY1999,27%,NORTHBOROUGH
2627,FY1998,25%,NORTHBOROUGH
2628,FY1997,24%,NORTHBOROUGH
2629,CY2008,39%,ORLEANS
2630,CY2007,31%,ORLEANS
2631,CY2006,26%,ORLEANS
2632,CY2005,,ORLEANS
2633,CY2004,,ORLEANS
2634,CY2003,,ORLEANS
2635,CY2002,,ORLEANS
2636,FY2001,,ORLEANS
2637,FY2000,,ORLEANS
2638,FY1999,30%,ORLEANS
2639,FY1998,27%,ORLEANS
2640,FY1997,17%,ORLEANS
2641,CY2008,26%,PERU
2642,CY2007,24%,PERU
2643,CY2006,32%,PERU
2644,CY2005,32%,PERU
2645,CY2004,28%,PERU
2646,CY2003,18%,PERU
2647,CY2002,32%,PERU
2648,FY2001,35%,PERU
2649,FY2000,34%,PERU
2650,FY1999,26%,PERU
2651,FY1998,39%,PERU
2652,FY1997,38%,PERU
2653,CY2008,36%,PROVINCETOWN
2654,CY2007,19%,PROVINCETOWN
2655,CY2006,18%,PROVINCETOWN
2656,CY2005,16%,PROVINCETOWN
2657,CY2004,25%,PROVINCETOWN
2658,CY2003,18%,PROVINCETOWN
2659,CY2002,17%,PROVINCETOWN
2660,FY2001,22%,PROVINCETOWN
2661,FY2000,23%,PROVINCETOWN
2662,FY1999,28%,PROVINCETOWN
2663,FY1998,29%,PROVINCETOWN
2664,FY1997,19%,PROVINCETOWN
2665,CY2008,23%,ROCKLAND
2666,CY2007,23%,ROCKLAND
2667,CY2006,23%,ROCKLAND
2668,CY2005,22%,ROCKLAND
2669,CY2004,22%,ROCKLAND
2670,CY2003,20%,ROCKLAND
2671,CY2002,16%,ROCKLAND
2672,FY2001,20%,ROCKLAND
2673,FY2000,,ROCKLAND
2674,FY1999,14%,ROCKLAND
2675,FY1998,21%,ROCKLAND
2676,FY1997,15%,ROCKLAND
2677,CY2008,,SANDISFIELD
2678,CY2007,,SANDISFIELD
2679,CY2006,24%,SANDISFIELD
2680,CY2005,,SANDISFIELD
2681,CY2004,,SANDISFIELD
2682,CY2003,,SANDISFIELD
2683,CY2002,,SANDISFIELD
2684,FY2001,18%,SANDISFIELD
2685,FY2000,,SANDISFIELD
2686,FY1999,,SANDISFIELD
2687,FY1998,17%,SANDISFIELD
2688,FY1997,20%,SANDISFIELD
2689,CY2008,42%,SHERBORN
2690,CY2007,42%,SHERBORN
2691,CY2006,40%,SHERBORN
2692,CY2005,39%,SHERBORN
2693,CY2004,41%,SHERBORN
2694,CY2003,37%,SHERBORN
2695,CY2002,39%,SHERBORN
2696,FY2001,36%,SHERBORN
2697,FY2000,29%,SHERBORN
2698,FY1999,28%,SHERBORN
2699,FY1998,29%,SHERBORN
2700,FY1997,29%,SHERBORN
2701,CY2008,16%,SOUTHBRIDGE
2702,CY2007,10%,SOUTHBRIDGE
2703,CY2006,16%,SOUTHBRIDGE
2704,CY2005,6%,SOUTHBRIDGE
2705,CY2004,,SOUTHBRIDGE
2706,CY2003,,SOUTHBRIDGE
2707,CY2002,,SOUTHBRIDGE
2708,FY2001,,SOUTHBRIDGE
2709,FY2000,,SOUTHBRIDGE
2710,FY1999,,SOUTHBRIDGE
2711,FY1998,50%,SOUTHBRIDGE
2712,FY1997,59%,SOUTHBRIDGE
2713,CY2008,38%,STURBRIDGE
2714,CY2007,19%,STURBRIDGE
2715,CY2006,35%,STURBRIDGE
2716,CY2005,60%,STURBRIDGE
2717,CY2004,63%,STURBRIDGE
2718,CY2003,37%,STURBRIDGE
2719,CY2002,69%,STURBRIDGE
2720,FY2001,72%,STURBRIDGE
2721,FY2000,67%,STURBRIDGE
2722,FY1999,61%,STURBRIDGE
2723,FY1998,60%,STURBRIDGE
2724,FY1997,61%,STURBRIDGE
2725,CY2008,,TISBURY
2726,CY2007,,TISBURY
2727,CY2006,,TISBURY
2728,CY2005,66%,TISBURY
2729,CY2004,43%,TISBURY
2730,CY2003,43%,TISBURY
2731,CY2002,44%,TISBURY
2732,FY2001,41%,TISBURY
2733,FY2000,49%,TISBURY
2734,FY1999,44%,TISBURY
2735,FY1998,40%,TISBURY
2736,FY1997,39%,TISBURY
2737,CY2008,44%,WAKEFIELD
2738,CY2007,42%,WAKEFIELD
2739,CY2006,39%,WAKEFIELD
2740,CY2005,39%,WAKEFIELD
2741,CY2004,38%,WAKEFIELD
2742,CY2003,36%,WAKEFIELD
2743,CY2002,37%,WAKEFIELD
2744,FY2001,38%,WAKEFIELD
2745,FY2000,45%,WAKEFIELD
2746,FY1999,37%,WAKEFIELD
2747,FY1998,34%,WAKEFIELD
2748,FY1997,37%,WAKEFIELD
2749,CY2008,23%,WATERTOWN
2750,CY2007,20%,WATERTOWN
2751,CY2006,20%,WATERTOWN
2752,CY2005,23%,WATERTOWN
2753,CY2004,23%,WATERTOWN
2754,CY2003,22%,WATERTOWN
2755,CY2002,23%,WATERTOWN
2756,FY2001,21%,WATERTOWN
2757,FY2000,24%,WATERTOWN
2758,FY1999,21%,WATERTOWN
2759,FY1998,22%,WATERTOWN
2760,FY1997,23%,WATERTOWN
2761,CY2008,7%,WEST BROOKFIELD
2762,CY2007,8%,WEST BROOKFIELD
2763,CY2006,,WEST BROOKFIELD
2764,CY2005,,WEST BROOKFIELD
2765,CY2004,,WEST BROOKFIELD
2766,CY2003,,WEST BROOKFIELD
2767,CY2002,,WEST BROOKFIELD
2768,FY2001,,WEST BROOKFIELD
2769,FY2000,,WEST BROOKFIELD
2770,FY1999,,WEST BROOKFIELD
2771,FY1998,29%,WEST BROOKFIELD
2772,FY1997,29%,WEST BROOKFIELD
2773,CY2008,,WESTMINSTER
2774,CY2007,27%,WESTMINSTER
2775,CY2006,30%,WESTMINSTER
2776,CY2005,28%,WESTMINSTER
2777,CY2004,40%,WESTMINSTER
2778,CY2003,44%,WESTMINSTER
2779,CY2002,45%,WESTMINSTER
2780,FY2001,30%,WESTMINSTER
2781,FY2000,38%,WESTMINSTER
2782,FY1999,31%,WESTMINSTER
2783,FY1998,31%,WESTMINSTER
2784,FY1997,19%,WESTMINSTER
2785,CY2008,29%,WILLIAMSTOWN
2786,CY2007,28%,WILLIAMSTOWN
2787,CY2006,47%,WILLIAMSTOWN
2788,CY2005,47%,WILLIAMSTOWN
2789,CY2004,41%,WILLIAMSTOWN
2790,CY2003,63%,WILLIAMSTOWN
2791,CY2002,57%,WILLIAMSTOWN
2792,FY2001,47%,WILLIAMSTOWN
2793,FY2000,59%,WILLIAMSTOWN
2794,FY1999,63%,WILLIAMSTOWN
2795,FY1998,63%,WILLIAMSTOWN
2796,FY1997,58%,WILLIAMSTOWN
2797,CY2008,35%,WRENTHAM
2798,CY2007,49%,WRENTHAM
2799,CY2006,39%,WRENTHAM
2800,CY2005,57%,WRENTHAM
2801,CY2004,38%,WRENTHAM
2802,CY2003,33%,WRENTHAM
2803,CY2002,43%,WRENTHAM
2804,FY2001,32%,WRENTHAM
2805,FY2000,41%,WRENTHAM
2806,FY1999,31%,WRENTHAM
2807,FY1998,26%,WRENTHAM
2808,FY1997,39%,WRENTHAM
2809,CY2008,13%,ACUSHNET
2810,CY2007,11%,ACUSHNET
2811,CY2006,12%,ACUSHNET
2812,CY2005,23%,ACUSHNET
2813,CY2004,,ACUSHNET
2814,CY2003,18%,ACUSHNET
2815,CY2002,16%,ACUSHNET
2816,FY2001,20%,ACUSHNET
2817,FY2000,19%,ACUSHNET
2818,FY1999,20%,ACUSHNET
2819,FY1998,19%,ACUSHNET
2820,FY1997,20%,ACUSHNET
2821,CY2008,10%,ASHBY
2822,CY2007,9%,ASHBY
2823,CY2006,22%,ASHBY
2824,CY2005,22%,ASHBY
2825,CY2004,,ASHBY
2826,CY2003,16%,ASHBY
2827,CY2002,37%,ASHBY
2828,FY2001,,ASHBY
2829,FY2000,20%,ASHBY
2830,FY1999,46%,ASHBY
2831,FY1998,39%,ASHBY
2832,FY1997,39%,ASHBY
2833,CY2008,33%,BARRE
2834,CY2007,16%,BARRE
2835,CY2006,,BARRE
2836,CY2005,14%,BARRE
2837,CY2004,57%,BARRE
2838,CY2003,14%,BARRE
2839,CY2002,57%,BARRE
2840,FY2001,37%,BARRE
2841,FY2000,30%,BARRE
2842,FY1999,22%,BARRE
2843,FY1998,16%,BARRE
2844,FY1997,15%,BARRE
2845,CY2008,26%,BEVERLY
2846,CY2007,23%,BEVERLY
2847,CY2006,25%,BEVERLY
2848,CY2005,23%,BEVERLY
2849,CY2004,17%,BEVERLY
2850,CY2003,21%,BEVERLY
2851,CY2002,26%,BEVERLY
2852,FY2001,26%,BEVERLY
2853,FY2000,25%,BEVERLY
2854,FY1999,25%,BEVERLY
2855,FY1998,25%,BEVERLY
2856,FY1997,26%,BEVERLY
2857,CY2008,,BOYLSTON
2858,CY2007,,BOYLSTON
2859,CY2006,,BOYLSTON
2860,CY2005,,BOYLSTON
2861,CY2004,,BOYLSTON
2862,CY2003,,BOYLSTON
2863,CY2002,,BOYLSTON
2864,FY2001,,BOYLSTON
2865,FY2000,,BOYLSTON
2866,FY1999,,BOYLSTON
2867,FY1998,,BOYLSTON
2868,FY1997,,BOYLSTON
2869,CY2008,24%,BURLINGTON
2870,CY2007,23%,BURLINGTON
2871,CY2006,22%,BURLINGTON
2872,CY2005,24%,BURLINGTON
2873,CY2004,,BURLINGTON
2874,CY2003,22%,BURLINGTON
2875,CY2002,21%,BURLINGTON
2876,FY2001,23%,BURLINGTON
2877,FY2000,20%,BURLINGTON
2878,FY1999,23%,BURLINGTON
2879,FY1998,26%,BURLINGTON
2880,FY1997,27%,BURLINGTON
2881,CY2008,7%,CHELSEA
2882,CY2007,4%,CHELSEA
2883,CY2006,8%,CHELSEA
2884,CY2005,3%,CHELSEA
2885,CY2004,11%,CHELSEA
2886,CY2003,12%,CHELSEA
2887,CY2002,19%,CHELSEA
2888,FY2001,7%,CHELSEA
2889,FY2000,6%,CHELSEA
2890,FY1999,5%,CHELSEA
2891,FY1998,6%,CHELSEA
2892,FY1997,6%,CHELSEA
2893,CY2008,53%,COLRAIN
2894,CY2007,52%,COLRAIN
2895,CY2006,55%,COLRAIN
2896,CY2005,58%,COLRAIN
2897,CY2004,56%,COLRAIN
2898,CY2003,59%,COLRAIN
2899,CY2002,60%,COLRAIN
2900,FY2001,60%,COLRAIN
2901,FY2000,58%,COLRAIN
2902,FY1999,56%,COLRAIN
2903,FY1998,62%,COLRAIN
2904,FY1997,57%,COLRAIN
2905,CY2008,30%,DENNIS
2906,CY2007,28%,DENNIS
2907,CY2006,23%,DENNIS
2908,CY2005,22%,DENNIS
2909,CY2004,17%,DENNIS
2910,CY2003,35%,DENNIS
2911,CY2002,22%,DENNIS
2912,FY2001,,DENNIS
2913,FY2000,25%,DENNIS
2914,FY1999,,DENNIS
2915,FY1998,45%,DENNIS
2916,FY1997,49%,DENNIS
2917,CY2008,30%,EAST BROOKFIELD
2918,CY2007,32%,EAST BROOKFIELD
2919,CY2006,38%,EAST BROOKFIELD
2920,CY2005,38%,EAST BROOKFIELD
2921,CY2004,33%,EAST BROOKFIELD
2922,CY2003,33%,EAST BROOKFIELD
2923,CY2002,39%,EAST BROOKFIELD
2924,FY2001,29%,EAST BROOKFIELD
2925,FY2000,21%,EAST BROOKFIELD
2926,FY1999,30%,EAST BROOKFIELD
2927,FY1998,28%,EAST BROOKFIELD
2928,FY1997,28%,EAST BROOKFIELD
2929,CY2008,9%,EVERETT
2930,CY2007,5%,EVERETT
2931,CY2006,14%,EVERETT
2932,CY2005,18%,EVERETT
2933,CY2004,15%,EVERETT
2934,CY2003,4%,EVERETT
2935,CY2002,,EVERETT
2936,FY2001,10%,EVERETT
2937,FY2000,9%,EVERETT
2938,FY1999,7%,EVERETT
2939,FY1998,6%,EVERETT
2940,FY1997,8%,EVERETT
2941,CY2008,12%,FREETOWN
2942,CY2007,9%,FREETOWN
2943,CY2006,9%,FREETOWN
2944,CY2005,8%,FREETOWN
2945,CY2004,8%,FREETOWN
2946,CY2003,8%,FREETOWN
2947,CY2002,22%,FREETOWN
2948,FY2001,,FREETOWN
2949,FY2000,11%,FREETOWN
2950,FY1999,9%,FREETOWN
2951,FY1998,8%,FREETOWN
2952,FY1997,9%,FREETOWN
2953,CY2008,18%,GRANBY
2954,CY2007,21%,GRANBY
2955,CY2006,18%,GRANBY
2956,CY2005,20%,GRANBY
2957,CY2004,20%,GRANBY
2958,CY2003,15%,GRANBY
2959,CY2002,17%,GRANBY
2960,FY2001,15%,GRANBY
2961,FY2000,13%,GRANBY
2962,FY1999,34%,GRANBY
2963,FY1998,21%,GRANBY
2964,FY1997,24%,GRANBY
2965,CY2008,40%,HAMPDEN
2966,CY2007,12%,HAMPDEN
2967,CY2006,12%,HAMPDEN
2968,CY2005,17%,HAMPDEN
2969,CY2004,19%,HAMPDEN
2970,CY2003,36%,HAMPDEN
2971,CY2002,34%,HAMPDEN
2972,FY2001,38%,HAMPDEN
2973,FY2000,18%,HAMPDEN
2974,FY1999,27%,HAMPDEN
2975,FY1998,22%,HAMPDEN
2976,FY1997,35%,HAMPDEN
2977,CY2008,,HAWLEY
2978,CY2007,21%,HAWLEY
2979,CY2006,,HAWLEY
2980,CY2005,,HAWLEY
2981,CY2004,31%,HAWLEY
2982,CY2003,,HAWLEY
2983,CY2002,,HAWLEY
2984,FY2001,,HAWLEY
2985,FY2000,,HAWLEY
2986,FY1999,,HAWLEY
2987,FY1998,,HAWLEY
2988,FY1997,,HAWLEY
2989,CY2008,26%,HOPEDALE
2990,CY2007,,HOPEDALE
2991,CY2006,27%,HOPEDALE
2992,CY2005,31%,HOPEDALE
2993,CY2004,30%,HOPEDALE
2994,CY2003,28%,HOPEDALE
2995,CY2002,24%,HOPEDALE
2996,FY2001,34%,HOPEDALE
2997,FY2000,51%,HOPEDALE
2998,FY1999,53%,HOPEDALE
2999,FY1998,51%,HOPEDALE
3000,FY1997,22%,HOPEDALE
3001,CY2008,17%,LANCASTER
3002,CY2007,23%,LANCASTER
3003,CY2006,,LANCASTER
3004,CY2005,,LANCASTER
3005,CY2004,,LANCASTER
3006,CY2003,,LANCASTER
3007,CY2002,,LANCASTER
3008,FY2001,72%,LANCASTER
3009,FY2000,68%,LANCASTER
3010,FY1999,59%,LANCASTER
3011,FY1998,51%,LANCASTER
3012,FY1997,41%,LANCASTER
3013,CY2008,,LEYDEN
3014,CY2007,,LEYDEN
3015,CY2006,,LEYDEN
3016,CY2005,,LEYDEN
3017,CY2004,,LEYDEN
3018,CY2003,,LEYDEN
3019,CY2002,,LEYDEN
3020,FY2001,,LEYDEN
3021,FY2000,,LEYDEN
3022,FY1999,,LEYDEN
3023,FY1998,16%,LEYDEN
3024,FY1997,,LEYDEN
3025,CY2008,15%,MALDEN
3026,CY2007,20%,MALDEN
3027,CY2006,8%,MALDEN
3028,CY2005,,MALDEN
3029,CY2004,,MALDEN
3030,CY2003,,MALDEN
3031,CY2002,,MALDEN
3032,FY2001,,MALDEN
3033,FY2000,16%,MALDEN
3034,FY1999,18%,MALDEN
3035,FY1998,21%,MALDEN
3036,FY1997,19%,MALDEN
3037,CY2008,48%,MAYNARD
3038,CY2007,41%,MAYNARD
3039,CY2006,44%,MAYNARD
3040,CY2005,45%,MAYNARD
3041,CY2004,44%,MAYNARD
3042,CY2003,34%,MAYNARD
3043,CY2002,40%,MAYNARD
3044,FY2001,39%,MAYNARD
3045,FY2000,38%,MAYNARD
3046,FY1999,41%,MAYNARD
3047,FY1998,37%,MAYNARD
3048,FY1997,37%,MAYNARD
3049,CY2008,40%,MIDDLEFIELD
3050,CY2007,39%,MIDDLEFIELD
3051,CY2006,39%,MIDDLEFIELD
3052,CY2005,39%,MIDDLEFIELD
3053,CY2004,37%,MIDDLEFIELD
3054,CY2003,35%,MIDDLEFIELD
3055,CY2002,29%,MIDDLEFIELD
3056,FY2001,37%,MIDDLEFIELD
3057,FY2000,28%,MIDDLEFIELD
3058,FY1999,31%,MIDDLEFIELD
3059,FY1998,30%,MIDDLEFIELD
3060,FY1997,34%,MIDDLEFIELD
3061,CY2008,51%,MONTAGUE
3062,CY2007,50%,MONTAGUE
3063,CY2006,55%,MONTAGUE
3064,CY2005,54%,MONTAGUE
3065,CY2004,55%,MONTAGUE
3066,CY2003,55%,MONTAGUE
3067,CY2002,58%,MONTAGUE
3068,FY2001,48%,MONTAGUE
3069,FY2000,45%,MONTAGUE
3070,FY1999,38%,MONTAGUE
3071,FY1998,32%,MONTAGUE
3072,FY1997,57%,MONTAGUE
3073,CY2008,18%,NEW BEDFORD
3074,CY2007,15%,NEW BEDFORD
3075,CY2006,14%,NEW BEDFORD
3076,CY2005,12%,NEW BEDFORD
3077,CY2004,15%,NEW BEDFORD
3078,CY2003,15%,NEW BEDFORD
3079,CY2002,18%,NEW BEDFORD
3080,FY2001,14%,NEW BEDFORD
3081,FY2000,17%,NEW BEDFORD
