unit,year,y_recyclingrate,treated
GRANBY,2001,.15000001,0
SOUTH HADLEY,2001,.54000002,0
AMHERST,2002,.36000001,0
GOSHEN,2002,.64999998,0
WORTHINGTON,2002,.38999999,0
SOUTH HADLEY,2002,.55000001,0
GRANBY,2002,.17,0
NORTHAMPTON,2002,.56,0
HUNTINGTON,2002,.41999999,0
CUMMINGTON,2002,.47999999,0
BELCHERTOWN,2002,.56999999,0
MIDDLEFIELD,2002,.28999999,0
PLAINFIELD,2002,.54000002,0
SOUTHAMPTON,2002,.79000002,0
WESTHAMPTON,2002,.51999998,0
BELMONT,1997,.34999999,0
TOWNSEND,1997,.25999999,0
READING,1997,.44999999,0
MELROSE,1997,.28999999,0
TYNGSBOROUGH,1997,.13,0
AYER,1997,.18000001,0
WINCHESTER,1997,.25999999,0
DRACUT,1997,.17,0
WILMINGTON,1997,.2,0
GROTON,1997,.38999999,0
NEWTON,1997,.44,0
WESTFORD,1997,.51999998,0
BILLERICA,1997,.20999999,0
DUNSTABLE,1997,.44999999,0
MARLBOROUGH,1997,.15000001,0
LOWELL,1997,.25999999,0
MAYNARD,1997,.37,0
ARLINGTON,1997,.30000001,0
CONCORD,1997,.50999999,0
FRAMINGHAM,1997,.28999999,0
ASHLAND,1997,.18000001,0
CARLISLE,1997,.38999999,0
HOPKINTON,1997,.28999999,0
WALTHAM,1997,.23,0
MEDFORD,1997,.15000001,0
TEWKSBURY,1997,.16,0
SUDBURY,1997,.2,0
WATERTOWN,1997,.23,0
SHERBORN,1997,.28999999,0
WAKEFIELD,1997,.37,0
LINCOLN,1997,.34999999,0
STONEHAM,1997,.31,0
CHELMSFORD,1997,.28999999,0
SOMERVILLE,1997,.14,0
CAMBRIDGE,1997,.31999999,0
MARLBOROUGH,1998,.13,0
BILLERICA,1998,.16,0
TEWKSBURY,1998,.17,0
DRACUT,1998,.2,0
GROTON,1998,.37,0
LOWELL,1998,.23999999,0
CHELMSFORD,1998,.28999999,0
ARLINGTON,1998,.28999999,0
DUNSTABLE,1998,.47999999,0
STONEHAM,1998,.33000001,0
SUDBURY,1998,.20999999,0
CARLISLE,1998,.37,0
CONCORD,1998,.56,0
READING,1998,.46000001,0
HOPKINTON,1998,.28,0
FRAMINGHAM,1998,.25999999,0
WINCHESTER,1998,.25999999,0
SHERBORN,1998,.28999999,0
WILMINGTON,1998,.20999999,0
LINCOLN,1998,.38999999,0
WESTFORD,1998,.33000001,0
TYNGSBOROUGH,1998,.17,0
MELROSE,1998,.30000001,0
WALTHAM,1998,.25999999,0
MEDFORD,1998,.13,0
WATERTOWN,1998,.22,0
BELMONT,1998,.40000001,0
SOMERVILLE,1998,.14,0
WAKEFIELD,1998,.34,0
MAYNARD,1998,.37,0
NEWTON,1998,.44,0
ASHLAND,1998,.22,0
AYER,1998,.20999999,0
TOWNSEND,1998,.25999999,0
CAMBRIDGE,1998,.31,0
FRAMINGHAM,1999,.28999999,0
SUDBURY,1999,.20999999,0
MARLBOROUGH,1999,.1,0
WATERTOWN,1999,.20999999,0
MAYNARD,1999,.41,0
ASHLAND,1999,.22,0
BELMONT,1999,.41999999,0
CONCORD,1999,.52999997,0
TYNGSBOROUGH,1999,.27000001,0
MELROSE,1999,.31999999,0
WALTHAM,1999,.19,0
MEDFORD,1999,.13,0
WINCHESTER,1999,.15000001,0
AYER,1999,.2,0
DRACUT,1999,.25,0
GROTON,1999,.34,0
SOMERVILLE,1999,.23,0
STONEHAM,1999,.33000001,0
TOWNSEND,1999,.2,0
BILLERICA,1999,.15000001,0
CHELMSFORD,1999,.30000001,0
LOWELL,1999,.13,0
WAKEFIELD,1999,.37,0
SHERBORN,1999,.28,0
CARLISLE,1999,.41999999,0
READING,1999,.47999999,0
NEWTON,1999,.44,0
ARLINGTON,1999,.25,0
CAMBRIDGE,1999,.31,0
LINCOLN,1999,.34,0
HOPKINTON,1999,.31999999,0
TEWKSBURY,1999,.19,0
DUNSTABLE,1999,.31,0
WESTFORD,1999,.31,0
WILMINGTON,1999,.30000001,0
WINCHESTER,2000,.22,0
MAYNARD,2000,.38,0
MELROSE,2000,.34,0
READING,2000,.49000001,0
STONEHAM,2000,.34999999,0
MARLBOROUGH,2000,.64999998,0
GROTON,2000,.41,0
WESTFORD,2000,.30000001,0
DRACUT,2000,.15000001,0
DUNSTABLE,2000,.47,0
CARLISLE,2000,.33000001,0
WILMINGTON,2000,.23,0
CHELMSFORD,2000,.23,0
SHERBORN,2000,.28999999,0
TYNGSBOROUGH,2000,.2,0
AYER,2000,.23,0
SOMERVILLE,2000,.22,0
MEDFORD,2000,.13,0
SUDBURY,2000,.20999999,0
BELMONT,2000,.41999999,0
CONCORD,2000,.55000001,0
HOPKINTON,2000,.25,0
BILLERICA,2000,.14,0
NEWTON,2000,.47,0
TOWNSEND,2000,.2,0
WALTHAM,2000,.19,0
WATERTOWN,2000,.23999999,0
ASHLAND,2000,.36000001,0
TEWKSBURY,2000,.16,0
ARLINGTON,2000,.28,0
